"";"position";"rank";"name";"uri";"imageUri";"industry";"country";"revenue";"marketValue";"headquarters";"ceo";"profits";"assets";"state";"thumbnail";"squareImage"
"199";737;737;"BYD";"byd";"byd";"Auto & Truck Manufacturers";"China";19235;22718;"China";"Chuan Fu Wang";410;28386;NA;NA;NA
"200";297;297;"Baidu";"baidu";"baidu";"Computer Services";"China";15435;59748;"China";"Yan Hong Li";4160;43341;NA;"http://specials-images.forbesimg.com/imageserve/5cd1a319f68bc400088edc13/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd1a319f68bc400088edc13/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"201";1503;1503;"Bajaj Auto";"bajaj-auto";"bajaj-auto";"Recreational Products";"India";4323;12781;"India";"Rajivnayan R. Bajaj";686;3665;NA;NA;NA
"202";1107;1107;"Bajaj Finserv";"bajaj-finserv";"bajaj-finserv";NA;"India";5529;17362;"India";"Sanjivnayan Bajaj";448;24867;NA;NA;NA
"203";947;947;"Ball";"ball";"ball";"Containers & Packaging";"United States";11633;19552;"Colorado";"John Arthur Hayes";454;16554;"Colorado";NA;NA
"204";1528;1528;"Banca MPS";"banca-mps";"banca-mps";"Regional Banks";"Italy";4000;1733;"Italy";"Marco Morelli";329;149159;NA;NA;NA
"205";1729;1729;"Banca Mediolanum";"banca-mediolanum";"no-pic";"Life & Health Insurance";"Italy";3883;5530;"Italy";"Massimo Antonio Doris";302;54084;NA;NA;NA
"206";1797;1796;"Banca Popolare di Sondrio";"banca-popolare-di-sondrio";"banca-popolare-di-sondrio";"Regional Banks";"Italy";1274;1302;"Italy";"Mario Alberto Predanzini";131;47016;NA;NA;NA
"207";1332;1332;"Banco BPM";"banco-bpm";"no-pic";"Regional Banks";"Italy";6098;3622;"Italy";"Giuseppe Castagna";-70;183435;NA;NA;NA
"208";68;68;"Banco Bradesco";"banco-bradesco";"banco-bradesco";"Regional Banks";"Brazil";62628;70702;"Brazil";"Octávio de Lazari";5220;332140;NA;NA;NA
"209";1583;1583;"Banco Comercial Portugues";"banco-comercial-portugues";"banco-comercial-portugues";"Regional Banks";"Portugal";3199;4234;"Portugal";"Miguel Maya Dias Pinheiro";353;86791;NA;NA;NA
"210";1611;1610;"Banco Davivienda";"banco-davivienda";"banco-davivienda";"Regional Banks";"Colombia";3757;5653;"Colombia";"Carlos Guillermo Arango";470;34095;NA;NA;NA
"211";1728;1728;"Banco de Chile";"banco-de-chile";"no-pic";"Regional Banks";"Chile";3974;6316;"Chile";"Arturo Tagle Quiroz";235;51815;NA;NA;NA
"212";1112;1112;"Banco de Sabadell";"banco-de-sabadell";"banco-de-sabadell";"Regional Banks";"Spain";7785;6367;"Spain";"Jaime Guardiola Romojaro";387;254148;NA;NA;NA
"213";154;154;"Banco do Brasil";"banco-do-brasil";"banco-do-brasil";"Regional Banks";"Brazil";42029;34467;"Brazil";"Ruben de Abdullah Novaes";3781;368373;NA;NA;NA
"214";732;732;"Bancolombia";"bancolombia";"bancolombia";"Regional Banks";"Colombia";7156;12513;"Colombia";"Juan Mora";899;67779;NA;"http://specials-images.forbesimg.com/imageserve/5bc6178031358e59f57ad105/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5bc6178031358e59f57ad105/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"215";1488;1488;"Bandai Namco Holdings";"bandai-namco-holdings";"no-pic";"Recreational Products";"Japan";6554;9636;"Japan";"Mitsuaki Taguchi";604;5180;NA;"http://specials-images.forbesimg.com/imageserve/5d5f05a72dedcb0008e0dfd0/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5f05a72dedcb0008e0dfd0/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"216";756;756;"Bangkok Bank";"bangkok-bank";"bangkok-bank";"Regional Banks";"Thailand";5314;12535;"Thailand";"Piti Sithi-Amnuai";1093;95723;NA;"http://specials-images.forbesimg.com/imageserve/5d605bb1fead28000891fe65/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d605bb1fead28000891fe65/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
