"";"position";"rank";"name";"uri";"imageUri";"industry";"country";"revenue";"marketValue";"headquarters";"ceo";"profits";"assets";"state";"thumbnail";"squareImage"
"1630";1406;1406;"Shizuoka Bank";"shizuoka-bank";"shizuoka-bank";"Regional Banks";"Japan";2018;4426;"Japan";"Hisashi Shibata";431;107010;NA;NA;NA
"1631";1738;1738;"Shopify";"shopify";"shopify";"Software & Programming";"Canada";1073;24366;"Canada";"Tobi Lütke";-65;2259;NA;NA;NA
"1632";1881;1881;"Shoprite Holdings";"shoprite-holdings";"shoprite-holdings";"Food Retail";"South Africa";10966;7026;"South Africa";"Pieter Christiaan Engelbrecht";343;4713;NA;NA;NA
"1633";1405;1404;"Showa Denko";"showa-denko";"showa-denko";"Diversified Chemicals";"Japan";8983;5463;"Japan";"Hideo Ichikawa";1010;9805;NA;NA;NA
"1634";648;648;"Siam Cement";"siam-cement";"siam-cement";"Specialized Chemicals";"Thailand";14800;17343;"Thailand";"Roongrote Rangsiyopash";1384;18114;NA;NA;NA
"1635";632;632;"Siam Commercial Bank";"siam-commercial-bank";"siam-commercial-bank";"Regional Banks";"Thailand";7098;13670;"Thailand";"Arthid Nanthawithaya";1239;97891;NA;NA;NA
"1636";1955;1955;"Sichuan Changhong Electric";"sichuan-changhong-electric";"sichuan-changhong-electric";NA;"China";12481;2485;"China";"Wei Li";50;10415;NA;"http://specials-images.forbesimg.com/imageserve/5cd488015218470008b04767/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd488015218470008b04767/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1637";64;64;"Siemens";"siemens";"siemens";"Conglomerates";"Germany";98316;96998;"Germany";"Joe Kaeser";5465;164165;NA;"http://specials-images.forbesimg.com/imageserve/5cd488745218470008b04770/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd488745218470008b04770/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1638";1278;1277;"Signature Bank";"signature-bank";"signature-bank";"Regional Banks";"United States";1829;6963;"New York";"Joseph J. DePaolo";615;48546;"New York";NA;NA
"1639";1076;1076;"Sika";"sika";"sika";"Construction Materials";"Switzerland";7240;21200;"Switzerland";"Paul Schuler";698;6474;NA;NA;NA
"1640";590;590;"Simon Property Group";"simon-property-group";"simon-property-group";"Real Estate";"United States";5655;55019;"Indiana";"David E. Simon";2151;30686;"Indiana";NA;NA
"1641";409;409;"SingTel";"singtel";"singtel";"Telecommunications services";"Singapore";12863;37833;"Singapore";"Sock Koong Chua";2299;35745;NA;"http://specials-images.forbesimg.com/imageserve/59e8c2474bbe6f37dda0c31f/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/59e8c2474bbe6f37dda0c31f/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1642";1078;1078;"Singapore Airlines";"singapore-airlines";"singapore-airlines";"Airline";"Singapore";12055;8599;"Singapore";"Choon Phong Goh";491;20184;NA;NA;NA
"1643";1307;1307;"Sino Biopharmaceutical";"sino-biopharmaceutical";"sino-biopharmaceutical";"Biotechs";"Hong Kong";3155;12468;"Hong Kong";"Tse Ping";1326;7251;NA;"http://specials-images.forbesimg.com/imageserve/5d5ebd952dedcb0008e0d695/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5ebd952dedcb0008e0d695/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1644";1925;1925;"Sino Land";"sino-land";"sino-land";"Real Estate";"Hong Kong";1521;6151;"Hong Kong";"Chee Siong Ng";458;20790;NA;"http://specials-images.forbesimg.com/imageserve/5d5ebd0d2dedcb0008e0d679/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5ebd0d2dedcb0008e0d679/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1645";1276;1276;"Sino-Ocean Group Holding";"sino-ocean-group-holding";"no-pic";"Real Estate";"China";6597;3586;"China";"Ming Li";547;36320;NA;NA;NA
"1646";1750;1749;"SinoPac Financial";"sinopac-financial";"sinopac-financial";"Regional Banks";"Taiwan";1678;4240;"Taiwan";"Shih Ting Chu";313;52215;NA;NA;NA
"1647";35;35;"Sinopec";"sinopec";"sinopec";"Oil & Gas Operations";"China";399679;105633;"China";"Dong Zhao";9534;233003;NA;NA;NA
"1648";572;572;"Sinopharm Group";"sinopharm-group";"sinopharm-group";"Pharmaceuticals";"China";51874;11103;"China";"Zhi Ming Li";880;34340;NA;NA;NA
"1649";1801;1800;"Sinotrans Ltd.";"sinotrans";"no-pic";"Air Courier";"China";11655;3170;"China";"Zhao Huxiang";409;9546;NA;NA;NA
"1650";1491;1490;"Sinotruk Hong Kong";"sinotruk-hong-kong";"no-pic";"Heavy Equipment";"China";9384;6588;"China";"Bozhi Wang";660;8984;NA;NA;NA
"1651";1467;1467;"Sistema";"sistema";"sistema";"Telecommunications services";"Russia";12460;1374;"Russia";"Andrei Anatolyevich Dubovskov";-731;21124;NA;NA;NA
"1652";1150;1150;"Skanska";"skanska";"skanska";"Construction Services";"Sweden";19737;7729;"Sweden";"Anders Danielsson";525;13117;NA;NA;NA
"1653";1264;1263;"Skyworks Solutions";"skyworks-solutions";"skyworks-solutions";"Semiconductors";"United States";3788;15570;"Massachusetts";"Liam K. Griffin";1133;4739;"Massachusetts";NA;NA
"1654";1377;1377;"Smith & Nephew";"smith-nephew";"smith-nephew";"Medical Equipment & Supplies";"United Kingdom";4904;16410;"United Kingdom";"Namal Nawana";666;8059;NA;NA;NA
"1655";1852;1852;"Smurfit Kappa Group";"smurfit-kappa-group";"smurfit-kappa-group";"Paper & Paper Products";"Ireland";10554;7330;"Ireland";"Anthony Paul James Smurfit";-762;10852;NA;NA;NA
"1656";931;931;"Snam";"snam";"snam";"Electric Utilities";"Italy";2932;16508;"Italy";"Marco Alverà";1133;25861;NA;NA;NA
"1657";1992;1990;"Snap";"snap";"no-pic";"Software & Programming";"United States";1180;15910;"California";"Evan Thomas Spiegel";-1256;2714;"California";NA;NA
"1658";1692;1690;"Snap-on";"snap-on";"snap-on";"Household/Personal Care";"United States";4059;9347;"Missouri";"Nicholas T. T. Pinchuk";695;5491;"Missouri";NA;NA
"1659";158;157;"Société Générale";"societe-generale";"societe-generale";"Major Banks";"France";49456;24476;"France";"Frédéric Oudéa";4014;1496873;NA;NA;NA
"1660";662;662;"Sodexo";"sodexo";"sodexo";"Business & Personal Services";"France";24662;16851;"France";"Suzanne Bergeron";749;20171;NA;NA;NA
"1661";1814;1812;"Sofina";"sofina";"no-pic";"Investment Services";"Belgium";145;6762;"Belgium";"Count Goblet d'Alviella";1016;7601;NA;NA;NA
"1662";36;36;"Softbank";"softbank";"softbank";"Telecommunications services";"Japan";86162;112400;"Japan";"Masayoshi Son";13863;332311;NA;"http://specials-images.forbesimg.com/imageserve/5b2803d031358e612fbc6f34/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5b2803d031358e612fbc6f34/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1663";1066;1066;"Sojitz";"sojitz";"sojitz";"Trading Companies";"Japan";16963;4288;"Japan";"Masayoshi Fujimoto";596;21172;NA;NA;NA
"1664";708;708;"Solvay";"solvay";"solvay";"Diversified Chemicals";"Belgium";13330;12787;"Belgium";"Ilham Kadri";1012;25149;NA;"http://specials-images.forbesimg.com/imageserve/597a176d4bbe6f3eb800afe0/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/597a176d4bbe6f3eb800afe0/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1665";403;403;"Sompo";"sompo";"sompo";"Property & Casualty Insurance";"Japan";31462;14210;"Japan";"Kengo Sakurada";1096;109100;NA;NA;NA
"1666";1858;1858;"Sonova Holding";"sonova-holding";"sonova-holding";"Medical Equipment & Supplies";"Switzerland";2761;12903;"Switzerland";"Arnd Kaldowski";427;4335;NA;NA;NA
"1667";73;73;"Sony";"sony";"sony";"Consumer Electronics";"Japan";76865;60146;"Japan";"Kenichiro Yoshida";7348;190695;NA;"http://specials-images.forbesimg.com/imageserve/5cd488fe5ea6490008c800de/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd488fe5ea6490008c800de/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1668";910;910;"South32";"south32";"no-pic";"Diversified Metals & Mining";"Australia";7857;12497;"Australia";"Graham Kerr";1419;15120;NA;NA;NA
"1669";215;215;"Southern Company";"southern-company";"southern-company";"Electric Utilities";"United States";23615;54082;"Georgia";"Thomas A. A. Fanning";2242;116914;"Georgia";"http://specials-images.forbesimg.com/imageserve/5a944d004bbe6f0fa8269701/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a944d004bbe6f0fa8269701/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1670";398;398;"Southwest Airlines";"southwest-airlines";"southwest-airlines";"Airline";"United States";21965;28524;"Texas";"Gary C. C. Kelly";2465;27303;"Texas";NA;NA
"1671";1450;1450;"Spirit AeroSystems";"spirit-aerosystems";"spirit-aerosystems";"Aerospace & Defense";"United States";7222;9040;"Kansas";"Thomas C. Gentile";617;5686;"Kansas";NA;NA
"1672";1870;1869;"Splunk";"splunk";"splunk";"Computer Services";"United States";1803;19222;"California";"Douglas Merritt";-276;4500;"California";NA;NA
"1673";1494;1494;"Spotify Technology";"spotify-technology";"spotify-technology";"Software & Programming";"Luxembourg";6194;24806;"Luxembourg";"Daniel Ek";-92,1;4957;NA;NA;NA
"1674";1673;1673;"Square";"square";"square";"Software & Programming";"United States";3298;29689;"California";"Jack Dorsey";-38;3281;"California";NA;NA
"1675";1966;1965;"St. Galler Kantonalbank";"st-galler-kantonalbank";"st-galler-kantonalbank";"Regional Banks";"Switzerland";592;2653;"Switzerland";"Roland Andreas Ledergerber";162;33624;NA;NA;NA
"1676";1383;1383;"St. James's Place";"st-jamess-place";"st-jamess-place";"Investment Services";"United Kingdom";-1630;7686;"United Kingdom";"Andrew Martin Croft";231;120666;NA;NA;NA
"1677";415;415;"Standard Bank Group";"standard-bank-group";"standard-bank-group";"Regional Banks";"South Africa";9005;22891;"South Africa";"Lungisa Fuzile";2127;147860;NA;NA;NA
"1678";358;357;"Standard Chartered";"standard-chartered";"standard-chartered";"Major Banks";"United Kingdom";23975;28939;"United Kingdom";"Bill Winters";635;688762;NA;NA;NA
"1679";736;736;"Stanley Black & Decker";"stanley-black-decker";"stanley-black-decker";"Household/Personal Care";"United States";13982;22059;"Connecticut";"James M. Loree";645;19408;"Connecticut";NA;NA
"1680";351;351;"Starbucks";"starbucks";"starbucks";"Restaurants";"United States";25277;94588;"Washington";"Kevin Johnson";3029;19981;"Washington";"http://specials-images.forbesimg.com/imageserve/5cd489b15ea6490008c80103/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd489b15ea6490008c80103/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1681";1550;1550;"Starwood Property Trust";"starwood-property-trust";"starwood-property-trust";"Real Estate";"United States";1113;6314;"Connecticut";"Barry Stuart Sternlicht";382;68262;"Connecticut";NA;NA
"1682";461;460;"State Bank of India";"state-bank-of-india";"state-bank-of-india";"Regional Banks";"India";47523;40012;"India";"Anshula Kant";-948;536689;NA;NA;NA
"1683";314;314;"State Street";"state-street";"state-street";"Investment Services";"United States";12488;26491;"Massachusetts";"Ronald Philip O'Hanley";2598;244626;"Massachusetts";NA;NA
"1684";1687;1687;"Steel Authority of India";"steel-authority-of-india";"steel-authority-of-india";"Iron & Steel";"India";8929;3416;"India";"Saraswati Prasad";-44;19085;NA;NA;NA
"1685";1106;1105;"Steel Dynamics";"steel-dynamics";"steel-dynamics";"Iron & Steel";"United States";11822;7571;"Indiana";"Mark D. Millet";1258;7704;"Indiana";NA;NA
"1686";891;891;"Steinhoff International";"steinhoff-international";"steinhoff-international";"Furniture & Fixtures";"Netherlands";14604;544;"Netherlands";"Louis J. du Preez";1276;24398;NA;NA;NA
"1687";1698;1698;"Sterling Bancorp";"sterling-bancorp";"sterling-bancorp";"Regional Banks";"United States";1302;4307;"New York";"Jack L. Kopnisky";447;31421;"New York";NA;NA
"1688";882;881;"Stora Enso";"stora-enso";"stora-enso";"Paper & Paper Products";"Finland";12370;10086;"Finland";"Karl-Henrik Sundström";1195;14688;NA;"http://specials-images.forbesimg.com/imageserve/5a1d80cf31358e286470ca8c/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a1d80cf31358e286470ca8c/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1689";1258;1258;"Storebrand";"storebrand";"storebrand";"Diversified Insurance";"Norway";6386;4012;"Norway";"Odd Arild Grefstad";453;66682;NA;NA;NA
"1690";366;366;"Stryker";"stryker";"stryker";"Medical Equipment & Supplies";"United States";13601;67256;"Michigan";"Kevin A. A. Lobo";3553;27229;"Michigan";NA;NA
"1691";466;466;"Subaru";"subaru";"subaru";"Auto & Truck Manufacturers";"Japan";29137;19579;"Japan";"Tomomi Nakamura";1682;26159;NA;NA;NA
"1692";1968;1967;"Sumec Corporation";"sumec";"no-pic";NA;"China";12375;1427;"China";"Ji Bo Cai";69;6222;NA;NA;NA
"1693";291;291;"Sumitomo";"sumitomo";"sumitomo";"Trading Companies";"Japan";46918;17887;"Japan";"Masayuki Hyodo";2693;72668;NA;NA;NA
"1694";720;719;"Sumitomo Chemical";"sumitomo-chemical";"sumitomo-chemical";"Diversified Chemicals";"Japan";19764;7964;"Japan";"Osamu Ishitobi";1207;29809;NA;NA;NA
"1695";608;608;"Sumitomo Electric";"sumitomo-electric";"sumitomo-electric";"Auto & Truck Parts";"Japan";28701;10735;"Japan";"Masayoshi Matsumoto";1163;28379;NA;NA;NA
"1696";1063;1060;"Sumitomo Metal Mining";"sumitomo-metal-mining";"sumitomo-metal-mining";"Diversified Metals & Mining";"Japan";8612;8874;"Japan";"Nobumasa Kemori";847;15962;NA;NA;NA
"1697";67;67;"Sumitomo Mitsui Financial";"sumitomo-mitsui-financial";"sumitomo-mitsui-financial";"Major Banks";"Japan";52466;50867;"Japan";"Takeshi Kunibe";6557;1841136;NA;NA;NA
"1698";433;432;"Sumitomo Mitsui Trust";"sumitomo-mitsui-trust";"sumitomo-mitsui-trust";"Regional Banks";"Japan";12973;13495;"Japan";"Tetsuo Ohkubo";1499;520158;NA;NA;NA
"1699";635;635;"Sumitomo Realty";"sumitomo-realty";"sumitomo-realty";"Real Estate";"Japan";9081;17317;"Japan";"Junji Takashima";1000;45458;NA;NA;NA
"1700";1415;1415;"Sun Art Retail Group";"sun-art-retail-group";"sun-art-retail-group";"Food Retail";"Hong Kong";15090;8524;"Hong Kong";"Ming-Tuan Huang";397;8998;NA;NA;NA
"1701";328;328;"Sun Hung Kai Properties";"sun-hung-kai-properties";"sun-hung-kai-properties";"Real Estate";"Hong Kong";8762;49302;"Hong Kong";"Kwok Ping-Luen";4770;92714;NA;"http://specials-images.forbesimg.com/imageserve/5d5ebe1068cb0a000917d2f6/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5ebe1068cb0a000917d2f6/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1702";274;273;"Sun Life Financial";"sun-life-financial";"sun-life-financial";"Life & Health Insurance";"Canada";23440;24453;"Canada";"Dean A. Connor";2018;195992;NA;NA;NA
"1703";1606;1606;"Sun Pharma Industries";"sun-pharma-industries";"sun-pharma-industries";"Pharmaceuticals";"India";4220;15988;"India";"Dilip Shantilal Shanghvi";484;9762;NA;NA;NA
"1704";338;338;"SunTrust Banks";"suntrust-banks";"suntrust-banks";"Regional Banks";"United States";10397;28142;"Georgia";"Bill Rogers Jr.";2775;215543;"Georgia";NA;NA
"1705";305;305;"Sunac China Holdings";"sunac-china-holdings";"sunac-china-holdings";"Construction Services";"China";18931;23560;"China";"Meng De Wang";2486;104383;NA;NA;NA
"1706";229;229;"Suncor Energy";"suncor-energy";"suncor-energy";"Oil & Gas Operations";"Canada";29736;52557;"Canada";"Mark S. Little";2541;65587;NA;NA;NA
"1707";701;701;"Suncorp Group";"suncorp-group";"suncorp-group";"Diversified Insurance";"Australia";10313;12574;"Australia";"Michael Andrew Cameron";640;69918;NA;NA;NA
"1708";423;423;"Suning.com";"suning";"no-pic";"Specialty Stores";"China";36884;19190;"China";"Xiao Ling Wang";2014;29053;NA;NA;NA
"1709";1953;1953;"Sunny Optical Technology Group";"sunny-optical-technology-group";"sunny-optical-technology-group";NA;"China";3914;13918;"China";"Yang Sun";376;3328;NA;NA;NA
"1710";934;933;"Suntory Beverage & Food";"suntory-beverage-food";"suntory-beverage-food";"Beverages";"Japan";11719;13353;"Japan";"Saburo Kogo";725;14031;NA;NA;NA
"1711";330;330;"Surgutneftegas";"surgutneftegas";"surgutneftegas";"Oil & Gas Operations";"Russia";22635;14004;"Russia";"Vladimir Leonidovich Bogdanov";8385;74135;NA;NA;NA
"1712";1799;1799;"Suzano Papel e Celulose";"suzano-papel-celulose";"no-pic";"Paper & Paper Products";"Brazil";3675;14022;"Brazil";"Antonio M Nato";87;13915;NA;NA;NA
"1713";1694;1693;"Suzuken";"suzuken";"suzuken";"Pharmaceuticals";"Japan";19116;5156;"Japan";"Jian Wei Zhang";255;11118;NA;NA;NA
"1714";395;394;"Suzuki Motor";"suzuki-motor";"suzuki-motor";"Auto & Truck Manufacturers";"Japan";35051;21321;"Japan";"Toshihiro Suzuki";2102;29363;NA;NA;NA
"1715";450;450;"Svenska Handelsbanken";"svenska-handelsbanken";"svenska-handelsbanken";"Major Banks";"Sweden";7415;21756;"Sweden";"Carina Åkerström";2021;341788;NA;NA;NA
"1716";930;930;"Swatch Group";"swatch-group";"swatch-group";"Apparel/Accessories";"Switzerland";8660;16260;"Switzerland";"Georges Nicolas Hayek";863;13858;NA;NA;NA
"1717";497;497;"Swedbank";"swedbank";"swedbank";"Major Banks";"Sweden";6614;18588;"Sweden";"Anders Karlsson";2432;253342;NA;NA;NA
"1718";451;450;"Swire Pacific";"swire-pacific";"swire-pacific";"Conglomerates";"Hong Kong";10795;18891;"Hong Kong";"Merlin Bingham Swire";3015;55740;NA;"http://specials-images.forbesimg.com/imageserve/5d5ec58d2dedcb0008e0d7fe/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d5ec58d2dedcb0008e0d7fe/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1719";392;392;"Swiss Life Holding";"swiss-life-holding";"swiss-life-holding";"Life & Health Insurance";"Switzerland";19676;15856;"Switzerland";"Patrick Frost";1099;216273;NA;NA;NA
"1720";474;474;"Swiss Re";"swiss-re";"swiss-re";"Diversified Insurance";"Switzerland";37294;30447;"Switzerland";"Christian Mumenthaler";402;200512;NA;NA;NA
"1721";579;579;"Swisscom";"swisscom";"swisscom";"Telecommunications services";"Switzerland";11969;24083;"Switzerland";"Urs Schaeppi";1560;22911;NA;NA;NA
"1722";1848;1848;"Sydney Airport";"sydney-airport";"no-pic";"Other Transportation";"Australia";1178;12025;"Australia";"Geoff Culbert";451;9190;NA;NA;NA
"1723";1587;1587;"Symantec";"symantec";"symantec";"Software & Programming";"United States";4764;15597;"California";"Greg Clark";-38;16456;"California";NA;NA
"1724";192;191;"Synchrony Financial";"synchrony-financial";"synchrony-financial";"Consumer Financial Services";"United States";NA;23060;"Connecticut";"Margaret M. Keane";3257;105384;"Connecticut";NA;NA
"1725";1772;1772;"Syndicate Bank";"syndicate-bank";"syndicate-bank";"Regional Banks";"India";3808;1449;"India";"Mrutyunjay Mahapatra";-483;49921;NA;NA;NA
"1726";1946;1946;"Synnex Technology Intl";"synnex-tech-intl";"synnex-tech-intl";"Electronics";"Taiwan";12708;2055;"Taiwan";"Shu Wu Tu";219;4799;NA;NA;NA
"1727";1456;1455;"Synopsys";"synopsys";"synopsys";"Software & Programming";"United States";3172;17359;"California";"Aart J de Geus";590;6344;"California";NA;NA
"1728";1711;1711;"Synovus Financial";"synovus-financial";"synovus-financial";"Regional Banks";"United States";1630;5739;"Georgia";"Kessel D. Stelling";428;32714;"Georgia";NA;NA
"1729";437;437;"Sysco";"sysco";"sysco";"Food Retail";"United States";59646;36451;"Texas";"Tom Bené";1477;18194;"Texas";NA;NA
"1730";990;990;"T Rowe Price";"t-rowe-price";"t-rowe-price";"Investment Services";"United States";5373;25067;"Maryland";"William J. Stromberg";1794;7786;"Maryland";NA;NA
"1731";703;703;"T&D Holdings";"td-holdings";"td-holdings";"Life & Health Insurance";"Japan";17622;6804;"Japan";"Kenji Nakagome";731;141567;NA;NA;NA
"1732";937;937;"TCL";"tcl";"no-pic";"Consumer Electronics";"China";17045;7700;"China";"Dong Sheng Li";524;28076;NA;NA;NA
"1733";631;631;"TD Ameritrade Holding";"td-ameritrade-holding";"td-ameritrade-holding";"Investment Services";"United States";5706;30038;"Nebraska";"Tim D. Hockey";1780;37191;"Nebraska";NA;NA
"1734";46;46;"TD Bank Group";"td-bank-group";"td-bank-group";"Major Banks";"Canada";42544;103836;"Canada";"Bharat B. Masrani";8683;1007010;NA;"http://specials-images.forbesimg.com/imageserve/5a67bf314bbe6f2652f36244/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5a67bf314bbe6f2652f36244/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1735";900;899;"TDK";"tdk";"tdk";"Electronics";"Japan";12493;11072;"Japan";"Takehiro Kamigama";676;18432;NA;NA;NA
"1736";507;507;"TE Connectivity";"te-connectivity";"te-connectivity";"Electronics";"Switzerland";14365;30250;"Switzerland";"Terrence R. Curtin";2977;19188;NA;"http://specials-images.forbesimg.com/imageserve/5911fb544bbe6f09a17a9725/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5911fb544bbe6f09a17a9725/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1737";625;625;"TELUS";"telus";"telus";"Telecommunications services";"Canada";10875;22356;"Canada";"Darren Entwistle";1234;24209;NA;NA;NA
"1738";396;394;"TJX Cos";"tjx-cos";"tjx-cos";"Apparel/Footwear Retail";"United States";38973;68213;"Massachusetts";"Ernie L. Herrman";3060;14326;"Massachusetts";NA;NA
"1739";1994;1990;"TP ICAP";"tp-icap";"no-pic";"Investment Services";"United Kingdom";2367;2072;"United Kingdom";"Nicolas Noel Elis Breteau";43;32493;NA;NA;NA
"1740";992;992;"TUI";"tui";"tui";"Business & Personal Services";"Germany";23242;6481;"Germany";"Friedrich Peter Joussen";825;16348;NA;NA;NA
"1741";1560;1559;"Tahoe Group";"tahoe-group";"no-pic";NA;"China";4580;3623;"China";"Ping Yong";490;36796;NA;NA;NA
"1742";899;899;"Taisei";"taisei";"taisei";"Construction Services";"Japan";14487;9309;"Japan";"Takashi Yamauchi";978;15213;NA;NA;NA
"1743";1513;1513;"Taishin Financial Holdings";"taishin-financial-holdings";"taishin-financial-holdings";"Investment Services";"Taiwan";1839;4806;"Taiwan";"Joseph S. Jao";429;58135;NA;NA;NA
"1744";1742;1741;"Taiwan Business Bank";"taiwan-business-bank";"taiwan-business-bank";"Regional Banks";"Taiwan";1151;2467;"Taiwan";"Chien An Shih";253;52674;NA;NA;NA
"1745";1993;1990;"Taiwan Cement";"taiwan-cement";"no-pic";"Construction Materials";"Taiwan";4132;6890;"Taiwan";"Gu Zhen Fu";702;11194;NA;NA;NA
"1746";1135;1135;"Taiwan Cooperative Financial";"taiwan-cooperative-financial";"taiwan-cooperative-financial";"Regional Banks";"Taiwan";2637;8090;"Taiwan";"Mei Tsu Chen";518;114139;NA;NA;NA
"1747";128;126;"Taiwan Semiconductor";"taiwan-semiconductor";"taiwan-semiconductor";"Semiconductors";"Taiwan";34203;222396;"Taiwan";"Wei Che-Chia";11644;68000;NA;"http://specials-images.forbesimg.com/imageserve/5d6052fefead28000891fd4e/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5d6052fefead28000891fd4e/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1748";377;377;"Takeda Pharmaceutical";"takeda-pharmaceutical";"takeda-pharmaceutical";"Pharmaceuticals";"Japan";16126;56557;"Japan";"Christophe Weber";1000;52565;NA;NA;NA
"1749";484;484;"Talanx";"talanx";"talanx";"Diversified Insurance";"Germany";41557;10261;"Germany";"Torsten Leue";829;179064;NA;NA;NA
"1750";1462;1462;"Tapestry";"tapestry";"tapestry";"Apparel/Footwear Retail";"United States";5988;9439;"New York";"Victor Luís";729;7119;"New York";"http://specials-images.forbesimg.com/imageserve/5cd9d07f5ea6490008c85180/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd9d07f5ea6490008c85180/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416"
"1751";1352;1352;"Targa Resources";"targa-resources";"targa-resources";"Oil & Gas Operations";"United States";10555;9146;"Texas";"Bob Perkins";2;17619;"Texas";NA;NA
"1752";233;233;"Target";"target";"target";"Discount Stores";"United States";75355;42990;"Minnesota";"Brian C. Cornell";2938;41290;"Minnesota";"http://specials-images.forbesimg.com/imageserve/5cd9d263169cc600095f2398/280x425.jpg?fit=scale&background=000000";"//specials-images.forbesimg.com/imageserve/5cd9d263169cc600095f2398/416x416.jpg?background=000000&cropX1=0&cropX2=1200&cropY1=0&cropY2=1200"
"1753";374;374;"Tata Consultancy Services";"tata-consultancy-services";"tata-consultancy-services";"Computer Services";"India";20940;116097;"India";"Rajesh Gopinathan";4500;16592;NA;NA;NA
"1754";769;769;"Tata Motors";"tata-motors";"tata-motors";"Auto & Truck Manufacturers";"India";44925;11639;"India";"Günter Karl Butschek";-4065;46402;NA;NA;NA
"1755";552;552;"Tata Steel";"tata-steel";"tata-steel";"Iron & Steel";"India";23192;8970;"India";"Thachat Viswanath Narendran";2641;34334;NA;NA;NA
"1756";525;524;"Tatneft";"tatneft";"tatneft";"Oil & Gas Operations";"Russia";14876;27238;"Russia";"Nail Ulfatovich Maganov";3372;17316;NA;NA;NA
"1757";1553;1552;"Taylor Wimpey";"taylor-wimpey";"taylor-wimpey";"Construction Services";"United Kingdom";5443;8108;"United Kingdom";"Peter Redfern";876;6694;NA;NA;NA
"1758";1436;1435;"Tech Data";"tech-data";"tech-data";"Electronics";"United States";37239;3888;"Florida";"Rich M. Hume";341;12987;"Florida";NA;NA
"1759";1543;1543;"Tech Mahindra";"tech-mahindra";"tech-mahindra";NA;"India";4954;11335;"India";"Chander Prakash Gurnani";641;4672;NA;NA;NA
"1760";1079;1079;"Technipfmc";"technipfmc";"no-pic";"Oil Services & Equipment";"United Kingdom";12556;11006;"United Kingdom";"Douglas J. Pferdehirt";-1922;25004;NA;NA;NA
"1761";1320;1320;"Techtronic Industries";"techtronic-industries";"no-pic";"Household/Personal Care";"Hong Kong";7021;13555;"Hong Kong";"Joseph G. Galli";552;6349;NA;NA;NA
"1762";623;623;"Teck Resources";"teck-resources";"teck-resources";"Diversified Metals & Mining";"Canada";9693;14094;"Canada";"Donald R. Lindsay";2397;29013;NA;NA;NA
"1763";759;759;"Telecom Italia";"telecom-italia";"telecom-italia";"Telecommunications services";"Italy";22380;12163;"Italy";"Luigi Gubitosi";-1639;75534;NA;NA;NA
